"","BIOME_NAME","NAME_EN","ISO_A3","INCOME_GRP","area_crop","biomass_crop","area_pasture","biomass_pasture","total_area","total_biomass","density_pasture","density_crop"
"1","Boreal Forests/Taiga","Canada","CAN","1. High income: OECD",6.97116615579976,4.99394163601874,3.03055093856,6.626644083995,10.0017170943598,11.6205857200137,2.18661366145646,0.716371052476487
"2","Boreal Forests/Taiga","Finland","FIN","1. High income: OECD",0.7246532792,0.7570132209,0.1897112914,0.8386581013,0.9143645706,1.5956713222,4.42070735542945,1.04465575831758
"3","Boreal Forests/Taiga","Iceland","ISL","1. High income: OECD",0,0,0.3212479797,0.61978685765,0.3212479797,0.61978685765,1.92930974454312,NA
"4","Boreal Forests/Taiga","Mongolia","MNG","4. Lower middle income",0.01484829223,0.00570504687,1.379940862,6.710029569,1.39478915423,6.71573461587,4.86254864521868,0.384222426500559
"5","Boreal Forests/Taiga","Norway","NOR","1. High income: OECD",0.2608742058,0.6653034701,0.06046930845,0.349450109775,0.32134351425,1.014753579875,5.77896653248397,2.55028460195891
"6","Boreal Forests/Taiga","People's Republic of China","CHN","3. Upper middle income",0,0,0.000318215601,0.00163817598,0.000318215601,0.00163817598,5.14800649261694,NA
"7","Boreal Forests/Taiga","Russia","RUS","3. Upper middle income",9.0439723845,9.82268507175,2.6648207818051,12.9296196092204,11.7087931663051,22.7523046809704,4.85196591737106,1.08610294836643
"8","Boreal Forests/Taiga","Saint Pierre and Miquelon","SPM","3. Upper middle income",0,0,0.004791952513,0.0124627055285,0.004791952513,0.0124627055285,2.6007573102384,NA
"9","Boreal Forests/Taiga","Sweden","SWE","1. High income: OECD",0.1778468771,0.2430876484,0.05069601743,0.222956005585,0.22854289453,0.466043653985,4.39789981319249,1.36683675509982
"10","Boreal Forests/Taiga","United States of America","USA","1. High income: OECD",0,0,0.3068004188615,0.83541995112425,0.3068004188615,0.83541995112425,2.72300785710917,NA
"11","Boreal Forests/Taiga",NA,NA,NA,0.0060778435025,0.0106647486997,0.8174070958278,1.9972033738926,0.8234849393303,2.0078681225923,2.44333990258551,1.75469287672729
"12","Deserts & Xeric Shrublands","Afghanistan","AFG","5. Low income",8.24907104307,0.860259818325,18.3762724932,1.5413602529,26.62534353627,2.401620071225,0.0838777425329522,0.104285660025646
"13","Deserts & Xeric Shrublands","Algeria","DZA","3. Upper middle income",0.266335323994439,0.000311514109000011,14.2742538833,0.000273615499999374,14.5405892072944,0.000585129608999385,1.91684624805145e-05,0.00116963121649802
"14","Deserts & Xeric Shrublands","Angola","AGO","3. Upper middle income",0.0435510736774,0.2300289447996,3.978194019,3.62484925435,4.0217450926774,3.8548781991496,0.911179604875375,5.28182029456989
"15","Deserts & Xeric Shrublands","Anguilla","AIA","3. Upper middle income",0,0,0.002560617852,0.010005356039,0.002560617852,0.010005356039,3.90739915805289,NA
"16","Deserts & Xeric Shrublands","Antigua and Barbuda","ATG","3. Upper middle income",0.006585484097,0.0134507603765,0.009695659608,0.039086574091,0.016281143705,0.0525373344675,4.03134759998683,2.04248619818662
"17","Deserts & Xeric Shrublands","Aruba","ABW","2. High income: nonOECD",5.32295244e-05,3.10067033e-06,0.002024691033,0.0003780494735,0.0020779205574,0.00038115014383,0.186719587007723,0.0582509493547156
"18","Deserts & Xeric Shrublands","Australia","AUS","1. High income: OECD",0.0418694820046,0.000345118119199997,108.560341419,0.297912491999999,108.602210901005,0.298257610119199,0.00274421108211307,0.00824271289437209
"19","Deserts & Xeric Shrublands","Azerbaijan","AZE","3. Upper middle income",3.593445304,2.2992912745,0.4327745453,0.40983125885,4.0262198493,2.70912253335,0.946985591691638,0.639857039688505
"20","Deserts & Xeric Shrublands","Bahrain","BHR","2. High income: nonOECD",0.005131787719,1.69059619999998e-05,0.01505300647,1.74344500000007e-06,0.020184794189,1.86494069999999e-05,0.000115820384683596,0.00329436113216588
"21","Deserts & Xeric Shrublands","Barbados","BRB","2. High income: nonOECD",0.01599606749,0.017112949405,0.01484519475,0.02518844858,0.03084126224,0.042301397985,1.6967408649186,1.06982228073858
"22","Deserts & Xeric Shrublands","Botswana","BWA","3. Upper middle income",0.4849298606,0.0025479184,12.7,1.6,13.1849298606,1.6025479184,0.125984251968504,0.00525419984829863
"23","Deserts & Xeric Shrublands","British Virgin Islands","VGB","1. High income: OECD",0.0008164732507,0.00533252859465,0.00188132893,0.009422567485,0.0026978021807,0.01475509607965,5.00846361034803,6.53117366683866
"24","Deserts & Xeric Shrublands","Chad","TCD","5. Low income",0,0,3.08703687149,0.000402920295000076,3.08703687149,0.000402920295000076,0.000130520078565049,NA
"25","Deserts & Xeric Shrublands","Chile","CHL","3. Upper middle income",0.0050362445609,7.57225734499998e-05,0.056919094774,0.000226452499499999,0.0619553393349,0.000302175072949999,0.00397849790828789,0.015035523500564
"26","Deserts & Xeric Shrublands","Colombia","COL","3. Upper middle income",0.2834863825,0.32332948175,0.6584831595,1.93990063975,0.941969542,2.2632301215,2.94601405026517,1.14054678358316
"27","Deserts & Xeric Shrublands","Cuba","CUB","3. Upper middle income",0.05405861028,0.03809107631,0.04146236761,0.178638379845,0.09552097789,0.216729456155,4.30844619210591,0.704625518723194
"28","Deserts & Xeric Shrublands","Curaçao","CUW","2. High income: nonOECD",9.534852265e-05,4.5006375675e-05,0.0190157163,0.0529233255,0.01911106482265,0.052968331875675,2.78313604731261,0.472019643557634
"29","Deserts & Xeric Shrublands","Djibouti","DJI","4. Lower middle income",0.00019782060217,9.78163395e-05,0.39334399329,0.002512374885,0.39354181389217,0.0026101912245,0.0063872206716214,0.494469930972812
"30","Deserts & Xeric Shrublands","Dominica","DMA","3. Upper middle income",0.0002575488981,0.00424267437795,0.0009912695617,0.00962368026415,0.0012488184598,0.0138663546421,9.70843919351831,16.4732771495014
"31","Deserts & Xeric Shrublands","Ecuador","ECU","3. Upper middle income",0,0,0.03452812326,0.11388580052,0.03452812326,0.11388580052,3.29834899112324,NA
"32","Deserts & Xeric Shrublands","Egypt","EGY","4. Lower middle income",1.39937419052126,0.116184256615465,0.61274147602,0.00218973514500004,2.01211566654126,0.118373991760465,0.00357366888108056,0.0830258678503902
"33","Deserts & Xeric Shrublands","Eritrea","ERI","5. Low income",0.045893674773,0.000407911793499999,1.27572680401,0.0105765429349999,1.321620478783,0.0109844547284999,0.00829060179793558,0.00888819201159243
"34","Deserts & Xeric Shrublands","Ethiopia","ETH","5. Low income",1.657501114,3.8067870745,2.3634339,0.090813131,4.020935014,3.8976002055,0.0384242313694494,2.29670257373957
"35","Deserts & Xeric Shrublands","France","FRA","1. High income: OECD",0.03138297314,0.10830710808,0.009394085358,0.053014140471,0.040777058498,0.161321248551,5.64335307277713,3.451142362989
"36","Deserts & Xeric Shrublands","Georgia","GEO","4. Lower middle income",0.5114206826,0.1821808074,0.07353694915,0.055720507225,0.58495763175,0.237901314625,0.757721225439225,0.35622495060977
"37","Deserts & Xeric Shrublands","Grenada","GRD","3. Upper middle income",2.380182154e-05,0.00017923027673,0.0003294422252,0.0023966278839,0.00035324404674,0.00257585816063,7.27480480817248,7.53010757722033
"38","Deserts & Xeric Shrublands","Guatemala","GTM","4. Lower middle income",0.1213879799,0.94539883155,6.732386956e-05,0.00130154881522,0.12145530376956,0.94670038036522,19.3326501243373,7.78824091420604
"39","Deserts & Xeric Shrublands","India","IND","4. Lower middle income",57.820860057909,3.9969132523325,0.1547137244439,0.10892084520455,57.9755737823529,4.10583409753705,0.704015403908431,0.0691258007634181
"40","Deserts & Xeric Shrublands","Iran","IRN","3. Upper middle income",10.6120923341055,0.616738742790001,18.340090183832,0.174439131578,28.9521825179375,0.791177874368001,0.00951135625994794,0.0581166016439477
"41","Deserts & Xeric Shrublands","Iraq","IRQ","4. Lower middle income",6.47767958923,0.11152809657,1.19568446464,0.016730397295,7.67336405387,0.128258493865,0.0139923180318624,0.0172172913207116
"42","Deserts & Xeric Shrublands","Israel","ISR","1. High income: OECD",0.1963159455992,0.00747834604885,0.051529615924,5.32200730000004e-05,0.2478455615232,0.00753156612185,0.00103280554387391,0.0380934214285265
"43","Deserts & Xeric Shrublands","Jordan","JOR","3. Upper middle income",0.0804034893131,0.0034169460475,0.152568566809,0.000544037197499987,0.2329720561221,0.00396098324499999,0.00356585375925478,0.0424974845829643
"44","Deserts & Xeric Shrublands","Kazakhstan","KAZ","3. Upper middle income",6.17753502741,1.854443344545,128.728836058,8.078263933,134.90637108541,9.932707277545,0.062754113067256,0.300191473834912
"45","Deserts & Xeric Shrublands","Kuwait","KWT","2. High income: nonOECD",0.04164952172,3.54525049999975e-05,0.13169800081,4.84008250000043e-05,0.17334752253,8.38533300000017e-05,0.000367513741304486,0.000851210374955477
"46","Deserts & Xeric Shrublands","Kyrgyzstan","KGZ","5. Low income",0.3387528701,0.25816705215,9.332148336e-05,0.00030265912462,0.33884619158336,0.25846971127462,3.24318810334864,0.76211030204346
"47","Deserts & Xeric Shrublands","Libya","LBY","3. Upper middle income",0.338985097987,0.000275408891499974,10.67068937653,0.000350323359998874,11.009674474517,0.000625732251498848,3.28304336896363e-05,0.000812451323481293
"48","Deserts & Xeric Shrublands","Madagascar","MDG","5. Low income",0.7602930598,5.2055223351,5.094621688,29.752689156,5.8549147478,34.9582114911,5.84001933373782,6.84673135970667
