"","BIOME_NAME","NAME_EN","ISO_A3","INCOME_GRP","area_crop","biomass_crop","area_pasture","biomass_pasture","total_area","total_biomass","density_crop","density_pasture"
"1","Boreal Forests/Taiga","Canada","CAN","1. High income: OECD",6971166.15579976,4993941.63601874,3030550.93856,6626644.083995,10001717.0943598,11620585.7200137,0.716371052476487,2.18661366145646
"2","Boreal Forests/Taiga","Finland","FIN","1. High income: OECD",724653.2792,757013.2209,189711.2914,838658.1013,914364.5706,1595671.3222,1.04465575831758,4.42070735542945
"3","Boreal Forests/Taiga","Iceland","ISL","1. High income: OECD",0,0,321247.9797,619786.85765,321247.9797,619786.85765,NA,1.92930974454312
"4","Boreal Forests/Taiga","Mongolia","MNG","4. Lower middle income",14848.29223,5705.04687,1379940.862,6710029.569,1394789.15423,6715734.61587,0.384222426500559,4.86254864521868
"5","Boreal Forests/Taiga","Norway","NOR","1. High income: OECD",260874.2058,665303.4701,60469.30845,349450.109775,321343.51425,1014753.579875,2.55028460195891,5.77896653248397
"6","Boreal Forests/Taiga","People's Republic of China","CHN","3. Upper middle income",0,0,318.215601,1638.17598,318.215601,1638.17598,NA,5.14800649261694
"7","Boreal Forests/Taiga","Russia","RUS","3. Upper middle income",9043972.3845,9822685.07175,2664820.7818051,12929619.6092204,11708793.1663051,22752304.6809704,1.08610294836643,4.85196591737106
"8","Boreal Forests/Taiga","Saint Pierre and Miquelon","SPM","3. Upper middle income",0,0,4791.952513,12462.7055285,4791.952513,12462.7055285,NA,2.6007573102384
"9","Boreal Forests/Taiga","Sweden","SWE","1. High income: OECD",177846.8771,243087.6484,50696.01743,222956.005585,228542.89453,466043.653985,1.36683675509982,4.39789981319249
"10","Boreal Forests/Taiga","United States of America","USA","1. High income: OECD",0,0,306800.4188615,835419.95112425,306800.4188615,835419.95112425,NA,2.72300785710917
"11","Boreal Forests/Taiga",NA,NA,NA,6077.8435025,10664.7486997,817407.0958278,1997203.3738926,823484.9393303,2007868.1225923,1.75469287672729,2.44333990258551
"12","Deserts & Xeric Shrublands","Afghanistan","AFG","5. Low income",8249071.04307,860259.818325,18376272.4932,1541360.2529,26625343.53627,2401620.071225,0.104285660025646,0.0838777425329522
"13","Deserts & Xeric Shrublands","Algeria","DZA","3. Upper middle income",266335.323994439,311.514109000011,14274253.8833,273.615499999374,14540589.2072944,585.129608999385,0.00116963121649802,1.91684624805145e-05
